channel,start_position,group1,group2,mean_diff,p_adj,lower,upper,reject
019,32,11,13,0.3388,0.9958,-2.2244,2.9019,False
019,32,11,14,2.7306,0.0181,0.3312,5.1301,True
019,32,11,15,1.2288,0.6397,-1.272,3.7295,False
019,32,11,16,-0.3502,0.9962,-3.0727,2.3723,False
019,32,13,14,2.3918,0.0857,-0.2097,4.9934,False
019,32,13,15,0.89,0.8837,-1.8053,3.5853,False
019,32,13,16,-0.689,0.9622,-3.5912,2.2132,False
019,32,14,15,-1.5018,0.4626,-4.042,1.0383,False
019,32,14,16,-3.0808,0.0213,-5.8395,-0.3221,True
019,32,15,16,-1.579,0.5268,-4.4262,1.2682,False
019,35,11,12,-1.4508,0.3684,-3.685,0.7835,False
019,35,11,13,-3.1656,0.0011,-5.3354,-0.9957,True
019,35,11,14,0.5818,0.9723,-2.0828,3.2465,False
019,35,11,16,-0.09,1.0,-2.5124,2.3325,False
019,35,12,13,-1.7148,0.1709,-3.8446,0.415,False
019,35,12,14,2.0326,0.2045,-0.5996,4.6647,False
019,35,12,16,1.3608,0.501,-1.0258,3.7474,False
019,35,13,14,3.7474,0.0012,1.1696,6.3251,True
019,35,13,16,3.0756,0.0039,0.7491,5.4021,True
019,35,14,16,-0.6718,0.9608,-3.4655,2.1219,False
029,34,11,12,0.2298,0.9995,-2.7586,3.2182,False
029,34,11,13,0.4639,0.9882,-2.209,3.1369,False
029,34,11,15,2.2658,0.0675,-0.1035,4.6351,False
029,34,11,16,-0.4488,0.9881,-3.0245,2.1269,False
029,34,12,13,0.2342,0.9995,-2.7542,3.2226,False
029,34,12,15,2.036,0.2319,-0.6842,4.7562,False
029,34,12,16,-0.6786,0.9647,-3.5804,2.2232,False
029,34,13,15,1.8018,0.2179,-0.5674,4.1711,False
029,34,13,16,-0.9127,0.8563,-3.4884,1.6629,False
029,34,15,16,-2.7146,0.0108,-4.9736,-0.4556,True
029,35,11,12,-1.7619,0.1583,-3.9137,0.39,False
029,35,11,13,-1.9764,0.0723,-4.0662,0.1134,False
029,35,11,14,1.1258,0.7318,-1.4406,3.6921,False
029,35,11,16,-0.6719,0.9266,-3.005,1.6612,False
029,35,12,13,-0.2146,0.9983,-2.2658,1.8367,False
029,35,12,14,2.8876,0.0178,0.3526,5.4227,True
029,35,12,16,1.0899,0.6716,-1.2086,3.3885,False
029,35,13,14,3.1022,0.0073,0.6195,5.5848,True
029,35,13,16,1.3045,0.48,-0.9361,3.5452,False
029,35,14,16,-1.7977,0.3396,-4.4883,0.8929,False
030,35,11,12,-1.4053,0.3056,-3.4377,0.6271,False
030,35,11,13,-1.6154,0.1586,-3.5892,0.3584,False
030,35,11,14,0.3755,0.9923,-2.0484,2.7994,False
030,35,11,16,0.3421,0.9923,-1.8615,2.5457,False
030,35,12,13,-0.2101,0.9981,-2.1475,1.7273,False
030,35,12,14,1.7808,0.2371,-0.6135,4.1752,False
030,35,12,16,1.7474,0.1712,-0.4236,3.9184,False
030,35,13,14,1.9909,0.1328,-0.354,4.3357,False
030,35,13,16,1.9575,0.0829,-0.1588,4.0738,False
030,35,14,16,-0.0334,1.0,-2.5747,2.5079,False
045,32,11,13,1.0909,0.7033,-1.3077,3.4894,False
045,32,11,14,0.9493,0.7561,-1.2961,3.1948,False
045,32,11,15,3.2535,0.0022,0.9133,5.5937,True
045,32,11,16,0.3383,0.9957,-2.2094,2.886,False
045,32,13,14,-0.1415,0.9998,-2.5761,2.293,False
045,32,13,15,2.1627,0.1259,-0.3596,4.6849,False
045,32,13,16,-0.7525,0.9351,-3.4684,1.9633,False
045,32,14,15,2.3042,0.0617,-0.0729,4.6812,False
045,32,14,16,-0.611,0.9626,-3.1926,1.9706,False
045,32,15,16,-2.9152,0.0253,-5.5796,-0.2507,True
045,34,11,12,1.4556,0.7242,-1.825,4.7363,False
045,34,11,13,1.8277,0.4117,-1.1065,4.762,False
045,34,11,15,2.5969,0.0505,-0.004,5.1979,False
045,34,11,16,0.4382,0.9923,-2.3893,3.2657,False
045,34,12,13,0.3721,0.9977,-2.9085,3.6527,False
045,34,12,15,1.1413,0.8192,-1.8449,4.1275,False
045,34,12,16,-1.0174,0.8968,-4.2029,2.1681,False
045,34,13,15,0.7692,0.92,-1.8318,3.3701,False
045,34,13,16,-1.3895,0.6421,-4.2171,1.438,False
045,34,15,16,-2.1587,0.1169,-4.6386,0.3212,False
