channel,start_position,group1,group2,mean_diff,p_adj,lower,upper,reject
019,32,Pillar 1,Pillar 3,0.4701,0.8421,-1.5518,2.492,False
019,32,Pillar 1,Pillar 4,2.1688,0.0044,0.5969,3.7407,True
019,32,Pillar 3,Pillar 4,1.6987,0.1105,-0.2987,3.696,False
019,34,Pillar 1,Pillar 2,1.2659,0.5987,-1.4099,3.9417,False
019,34,Pillar 1,Pillar 3,0.2169,0.9946,-2.0928,2.5266,False
019,34,Pillar 1,Pillar 4,2.1401,0.0252,0.1983,4.0818,True
019,34,Pillar 2,Pillar 3,-1.049,0.7962,-4.0698,1.9718,False
019,34,Pillar 2,Pillar 4,0.8742,0.8357,-1.8755,3.6239,False
019,34,Pillar 3,Pillar 4,1.9232,0.1582,-0.4717,4.3182,False
019,35,Pillar 1,Pillar 2,-1.4112,0.1856,-3.2403,0.4179,False
019,35,Pillar 1,Pillar 3,-3.126,0.0001,-4.8865,-1.3654,True
019,35,Pillar 1,Pillar 4,0.6214,0.8882,-1.6535,2.8963,False
019,35,Pillar 2,Pillar 3,-1.7148,0.1133,-3.6987,0.2691,False
019,35,Pillar 2,Pillar 4,2.0326,0.1377,-0.4193,4.4844,False
019,35,Pillar 3,Pillar 4,3.7474,0.0007,1.3462,6.1485,True
029,32,Pillar 1,Pillar 3,0.8302,0.5456,-1.0626,2.7229,False
029,32,Pillar 1,Pillar 4,1.7894,0.0134,0.3179,3.2609,True
029,32,Pillar 3,Pillar 4,0.9592,0.4383,-0.9106,2.829,False
029,34,Pillar 1,Pillar 2,0.4714,0.958,-1.9998,2.9426,False
029,34,Pillar 1,Pillar 3,0.7056,0.8188,-1.4275,2.8387,False
029,34,Pillar 1,Pillar 4,2.5074,0.0026,0.7141,4.3007,True
029,34,Pillar 2,Pillar 3,0.2342,0.9961,-2.5557,3.024,False
029,34,Pillar 2,Pillar 4,2.036,0.1593,-0.5035,4.5755,False
029,34,Pillar 3,Pillar 4,1.8018,0.1489,-0.41,4.0137,False
029,35,Pillar 1,Pillar 2,-1.4662,0.1385,-3.2373,0.3048,False
029,35,Pillar 1,Pillar 3,-1.6808,0.0547,-3.3855,0.0239,False
029,35,Pillar 1,Pillar 4,1.4214,0.3303,-0.7813,3.6241,False
029,35,Pillar 2,Pillar 3,-0.2146,0.991,-2.1355,1.7064,False
029,35,Pillar 2,Pillar 4,2.8876,0.011,0.5136,5.2617,True
029,35,Pillar 3,Pillar 4,3.1022,0.0044,0.7772,5.4272,True
030,32,Pillar 1,Pillar 3,1.362,0.2399,-0.6435,3.3676,False
030,32,Pillar 1,Pillar 4,1.7736,0.0221,0.2144,3.3328,True
030,32,Pillar 3,Pillar 4,0.4116,0.8717,-1.5696,2.3928,False
030,34,Pillar 1,Pillar 2,0.9527,0.8243,-1.9639,3.8693,False
030,34,Pillar 1,Pillar 3,-0.1949,0.9969,-2.7125,2.3226,False
030,34,Pillar 1,Pillar 4,2.1051,0.0518,-0.0114,4.2216,False
030,34,Pillar 2,Pillar 3,-1.1476,0.7944,-4.4403,2.1451,False
030,34,Pillar 2,Pillar 4,1.1524,0.7415,-1.8448,4.1496,False
030,34,Pillar 3,Pillar 4,2.3,0.1032,-0.3105,4.9106,False
030,35,Pillar 1,Pillar 2,-1.5558,0.0756,-3.2222,0.1105,False
030,35,Pillar 1,Pillar 3,-1.7659,0.0254,-3.3698,-0.162,True
030,35,Pillar 1,Pillar 4,0.225,0.9917,-1.8475,2.2974,False
030,35,Pillar 2,Pillar 3,-0.2101,0.9899,-2.0175,1.5973,False
030,35,Pillar 2,Pillar 4,1.7808,0.1628,-0.4529,4.0145,False
030,35,Pillar 3,Pillar 4,1.9909,0.087,-0.1966,4.1784,False
045,32,Pillar 1,Pillar 3,0.964,0.4702,-1.0021,2.9301,False
045,32,Pillar 1,Pillar 4,1.8859,0.0119,0.3574,3.4144,True
045,32,Pillar 3,Pillar 4,0.922,0.4926,-1.0202,2.8641,False
045,34,Pillar 1,Pillar 2,1.2197,0.6373,-1.4921,3.9314,False
045,34,Pillar 1,Pillar 3,1.5918,0.2855,-0.749,3.9325,False
045,34,Pillar 1,Pillar 4,2.361,0.0124,0.3931,4.3288,True
045,34,Pillar 2,Pillar 3,0.3721,0.9885,-2.6893,3.4335,False
045,34,Pillar 2,Pillar 4,1.1413,0.7024,-1.6454,3.928,False
045,34,Pillar 3,Pillar 4,0.7692,0.837,-1.658,3.1963,False
045,35,Pillar 1,Pillar 2,1.2213,0.4032,-0.8335,3.2762,False
045,35,Pillar 1,Pillar 3,-0.1087,0.9989,-2.0866,1.8692,False
045,35,Pillar 1,Pillar 4,2.3942,0.0742,-0.1615,4.9499,False
045,35,Pillar 2,Pillar 3,-1.33,0.3997,-3.5588,0.8988,False
045,35,Pillar 2,Pillar 4,1.1729,0.6759,-1.5817,3.9274,False
045,35,Pillar 3,Pillar 4,2.5029,0.0783,-0.1947,5.2004,False
