channel,group1,group2,mean_diff,p_adj,lower,upper,reject
043,Start 31,Start 32,-0.4757,0.9026,-1.7805,0.829,False
043,Start 31,Start 33,-0.7021,0.6161,-1.9795,0.5753,False
043,Start 31,Start 34,-0.8334,0.4187,-2.1057,0.439,False
043,Start 31,Start 35,-1.4531,0.016,-2.7356,-0.1705,True
043,Start 31,Start 36,-1.0255,0.1968,-2.3029,0.2519,False
043,Start 32,Start 33,-0.2264,0.9967,-1.5664,1.1136,False
043,Start 32,Start 34,-0.3576,0.9729,-1.6928,0.9776,False
043,Start 32,Start 35,-0.9773,0.2994,-2.3223,0.3676,False
043,Start 32,Start 36,-0.5497,0.8487,-1.8898,0.7903,False
043,Start 33,Start 34,-0.1312,0.9997,-1.4397,1.1772,False
043,Start 33,Start 35,-0.7509,0.5784,-2.0693,0.5675,False
043,Start 33,Start 36,-0.3234,0.9813,-1.6367,0.99,False
043,Start 34,Start 35,-0.6197,0.7561,-1.9332,0.6938,False
043,Start 34,Start 36,-0.1921,0.9983,-1.5006,1.1163,False
043,Start 35,Start 36,0.4276,0.9389,-0.8908,1.746,False
