channel,start_position,test_type,group1,group2,f_stat,p_value,mean_diff,p_adj,lower,upper,reject
019,31,ANOVA,,,15.03425390908184,0.00015912729464754528,,,,,
019,31,Tukey,Control,Cue,15.03425390908184,0.00015912729464754528,0.8647,0.0002,0.4239,1.3054,True
019,32,ANOVA,,,3.6764138764689345,0.05756441859808615,,,,,
019,33,ANOVA,,,5.031474636214503,0.026583529488037164,,,,,
019,33,Tukey,Control,Cue,5.031474636214503,0.026583529488037164,0.5678,0.0266,0.067,1.0687,True
019,34,ANOVA,,,3.949567479477405,0.04895323537872663,,,,,
019,34,Tukey,Control,Cue,3.949567479477405,0.04895323537872663,0.4909,0.049,0.0023,0.9795,True
019,35,ANOVA,,,0.004746903492407597,0.9451785046500693,,,,,
019,36,ANOVA,,,1.2562572924481537,0.26442697560913414,,,,,
023,31,ANOVA,,,2.7780152076567184,0.09771038357929232,,,,,
023,32,ANOVA,,,13.999613971979977,0.00028191717518160026,,,,,
023,32,Tukey,Control,Cue,13.999613971979977,0.00028191717518160026,0.9133,0.0003,0.43,1.3966,True
023,33,ANOVA,,,1.1375780814986802,0.28814145013679754,,,,,
023,34,ANOVA,,,4.173567723816487,0.04304962707530162,,,,,
023,34,Tukey,Control,Cue,4.173567723816487,0.04304962707530162,0.4323,0.043,0.0137,0.8509,True
023,35,ANOVA,,,7.764719191835206,0.0061388899118083404,,,,,
023,35,Tukey,Control,Cue,7.764719191835206,0.0061388899118083404,0.6284,0.0061,0.1822,1.0747,True
023,36,ANOVA,,,0.25026687729365166,0.6177330396662674,,,,,
029,31,ANOVA,,,4.697160838398417,0.031833889935086776,,,,,
029,31,Tukey,Control,Cue,4.697160838398417,0.031833889935086776,0.5023,0.0318,0.0443,0.9603,True
029,32,ANOVA,,,9.791932772189382,0.0022008150173067546,,,,,
029,32,Tukey,Control,Cue,9.791932772189382,0.0022008150173067546,0.7664,0.0022,0.2815,1.2513,True
029,33,ANOVA,,,13.801424068286291,0.0003005555429164393,,,,,
029,33,Tukey,Control,Cue,13.801424068286291,0.0003005555429164393,0.8305,0.0003,0.3882,1.2728,True
029,34,ANOVA,,,2.439344327174652,0.1207200074354936,,,,,
029,35,ANOVA,,,0.21955795465279973,0.6401739380312874,,,,,
029,36,ANOVA,,,5.670599424673256,0.018701911956237653,,,,,
029,36,Tukey,Control,Cue,5.670599424673256,0.018701911956237653,0.5769,0.0187,0.0976,1.0562,True
030,31,ANOVA,,,19.926428979408612,1.5989393842339017e-05,,,,,
030,31,Tukey,Control,Cue,19.926428979408612,1.5989393842339017e-05,1.0448,0.0,0.5822,1.5073,True
030,32,ANOVA,,,7.019507266808119,0.009148310879839227,,,,,
030,32,Tukey,Control,Cue,7.019507266808119,0.009148310879839227,0.6199,0.0091,0.1566,1.0831,True
030,33,ANOVA,,,12.71022705758946,0.000509536301130858,,,,,
030,33,Tukey,Control,Cue,12.71022705758946,0.000509536301130858,0.8263,0.0005,0.3678,1.2848,True
030,34,ANOVA,,,2.474334461653269,0.11811228612872743,,,,,
030,35,ANOVA,,,0.5986638648432759,0.4405149445073313,,,,,
030,36,ANOVA,,,7.334755179163007,0.007673895920412094,,,,,
030,36,Tukey,Control,Cue,7.334755179163007,0.007673895920412094,0.7149,0.0077,0.1927,1.2371,True
043,31,ANOVA,,,6.991843815303994,0.009083532527082239,,,,,
043,31,Tukey,Control,Cue,6.991843815303994,0.009083532527082239,0.6774,0.0091,0.1711,1.1837,True
043,32,ANOVA,,,0.3337404135411324,0.5645472751051415,,,,,
043,33,ANOVA,,,2.1637956690014284,0.14371171196073218,,,,,
043,34,ANOVA,,,2.8504020010961115,0.09371227822986646,,,,,
043,35,ANOVA,,,2.4592791302571864,0.1193012401032153,,,,,
043,36,ANOVA,,,2.277709408804468,0.13367222107814913,,,,,
045,31,ANOVA,,,7.586079082282739,0.006630657131767618,,,,,
045,31,Tukey,Control,Cue,7.586079082282739,0.006630657131767618,-0.5778,0.0066,-0.9924,-0.1632,True
045,32,ANOVA,,,7.879452604885285,0.005836852814522672,,,,,
045,32,Tukey,Control,Cue,7.879452604885285,0.005836852814522672,-0.6048,0.0058,-1.0314,-0.1782,True
045,33,ANOVA,,,0.9417970532915562,0.33361826212378276,,,,,
045,34,ANOVA,,,0.1284925928451834,0.72057275977795,,,,,
045,35,ANOVA,,,8.240967233580278,0.0047939620828148875,,,,,
045,35,Tukey,Control,Cue,8.240967233580278,0.0047939620828148875,-0.6766,0.0048,-1.1429,-0.2102,True
045,36,ANOVA,,,2.6910565926832284,0.10333031724830194,,,,,
