channel,start_position,test_type,group1,group2,t_stat,p_value,p_adj,reject
019,31,Welch t-test,Cue,Control,3.8774029851283025,0.0001593715643494569,0.0001593715643494569,True
019,32,Welch t-test,Cue,Control,1.9173976834420476,0.05756517712243001,0.05756517712243001,False
019,33,Welch t-test,Cue,Control,2.2430948790041194,0.026613907728698365,0.026613907728698365,True
019,34,Welch t-test,Cue,Control,1.9873518761098659,0.0489778151720204,0.0489778151720204,True
019,35,Welch t-test,Cue,Control,-0.06889777567097222,0.9451785728575607,0.9451785728575607,False
019,36,Welch t-test,Cue,Control,1.1208288417274768,0.26442715135481226,0.26442715135481226,False
023,31,Welch t-test,Cue,Control,1.6667378941083437,0.09771038607149078,0.09771038607149078,False
023,32,Welch t-test,Cue,Control,3.741605801254321,0.0002858434821495499,0.0002858434821495499,True
023,33,Welch t-test,Cue,Control,1.066573054928108,0.2881416459056031,0.2881416459056031,False
023,34,Welch t-test,Cue,Control,2.0429311598329707,0.04305298964114693,0.04305298964114693,True
023,35,Welch t-test,Cue,Control,2.786524572264742,0.006143625610683542,0.006143625610683542,True
023,36,Welch t-test,Cue,Control,0.5002668061081519,0.6177381175970251,0.6177381175970251,False
029,31,Welch t-test,Cue,Control,2.1672934361545084,0.03186185148452692,0.03186185148452692,True
029,32,Welch t-test,Cue,Control,3.129206412525287,0.0022383610174068996,0.0022383610174068996,True
029,33,Welch t-test,Cue,Control,3.7150267924049043,0.0003015066588481991,0.0003015066588481991,True
029,34,Welch t-test,Cue,Control,1.561840045323032,0.12073380639720578,0.12073380639720578,False
029,35,Welch t-test,Cue,Control,-0.468570117114611,0.6401922330504685,0.6401922330504685,False
029,36,Welch t-test,Cue,Control,2.3813020439820844,0.018703738226404427,0.018703738226404427,True
030,31,Welch t-test,Cue,Control,4.463902886422221,1.605819752012024e-05,1.605819752012024e-05,True
030,32,Welch t-test,Cue,Control,2.6494352731871236,0.009159785976116266,0.009159785976116266,True
030,33,Welch t-test,Cue,Control,3.5651405382662618,0.0005110563031845824,0.0005110563031845824,True
030,34,Welch t-test,Cue,Control,1.5730017360617443,0.11819936732395842,0.11819936732395842,False
030,35,Welch t-test,Cue,Control,0.773733717013338,0.44052436841585385,0.44052436841585385,False
030,36,Welch t-test,Cue,Control,2.7082753145060803,0.007690291357307527,0.007690291357307527,True
043,31,Welch t-test,Cue,Control,2.644209487787226,0.00911613779972043,0.00911613779972043,True
043,32,Welch t-test,Cue,Control,0.577702703422039,0.5645663563016785,0.5645663563016785,False
043,33,Welch t-test,Cue,Control,1.470984591694091,0.1438298117807167,0.1438298117807167,False
043,34,Welch t-test,Cue,Control,1.6883133598642492,0.0937272877282664,0.0937272877282664,False
043,35,Welch t-test,Cue,Control,-1.568208892417456,0.11930335878856148,0.11930335878856148,False
043,36,Welch t-test,Cue,Control,1.5092082059160918,0.13367852349748585,0.13367852349748585,False
045,31,Welch t-test,Cue,Control,-2.754283769382297,0.006676419038374301,0.006676419038374301,True
045,32,Welch t-test,Cue,Control,-2.807036267112572,0.005837834533977968,0.005837834533977968,True
045,33,Welch t-test,Cue,Control,0.9704622884437888,0.3337141686700493,0.3337141686700493,False
045,34,Welch t-test,Cue,Control,-0.35845863477559414,0.7205768098700907,0.7205768098700907,False
045,35,Welch t-test,Cue,Control,-2.870708489829694,0.004797995918135364,0.004797995918135364,True
045,36,Welch t-test,Cue,Control,-1.6404440230264583,0.10333113474278105,0.10333113474278105,False
