channel,start_position,group1,group2,mean_diff,p_adj,lower,upper,reject
019,36,11,12,0.7222,0.9503,-2.1255,3.57,False
019,36,11,13,2.0556,0.2582,-0.7922,4.9033,False
019,36,11,14,-1.3333,0.6061,-3.9698,1.3032,False
019,36,11,15,1.3333,0.7651,-1.8957,4.5624,False
019,36,12,13,1.3333,0.7243,-1.711,4.3777,False
019,36,12,14,-2.0556,0.2582,-4.9033,0.7922,False
019,36,12,15,0.6111,0.9858,-2.7926,4.0148,False
019,36,13,14,-3.3889,0.0125,-6.2366,-0.5411,True
019,36,13,15,-0.7222,0.9737,-4.1259,2.6815,False
019,36,14,15,2.6667,0.1489,-0.5624,5.8957,False
023,36,11,12,-1.1667,0.942,-5.6111,3.2778,False
023,36,11,13,0.2273,0.9994,-2.7227,3.1773,False
023,36,11,14,2.6111,0.1341,-0.491,5.7132,False
023,36,11,15,2.375,0.2303,-0.8276,5.5776,False
023,36,12,13,1.3939,0.8912,-3.0036,5.7915,False
023,36,12,14,3.7778,0.136,-0.7233,8.2788,False
023,36,12,15,3.5417,0.194,-1.0292,8.1125,False
023,36,13,14,2.3838,0.1832,-0.6508,5.4184,False
023,36,13,15,2.1477,0.303,-0.9895,5.2849,False
023,36,14,15,-0.2361,0.9996,-3.5168,3.0446,False
030,35,11,12,0.9167,0.8785,-1.8616,3.6949,False
030,35,11,13,2.8667,0.0534,-0.0282,5.7615,False
030,35,11,14,3.4667,0.0548,-0.0475,6.9809,False
030,35,11,16,1.6667,0.5044,-1.3034,4.6367,False
030,35,12,13,1.95,0.2553,-0.7477,4.6477,False
030,35,12,14,2.55,0.2113,-0.8037,5.9037,False
030,35,12,16,0.75,0.9374,-2.0282,3.5282,False
030,35,13,14,0.6,0.9872,-2.8509,4.0509,False
030,35,13,16,-1.2,0.7604,-4.0948,1.6948,False
030,35,14,16,-1.8,0.5918,-5.3142,1.7142,False
