channel,start_position,group1,group2,mean_diff,p_adj,lower,upper,reject
019,32,Pillar 1,Pillar 3,0.8834,0.4652,-0.9056,2.6724,False
019,32,Pillar 1,Pillar 4,2.0209,0.0026,0.63,3.4117,True
019,32,Pillar 3,Pillar 4,1.1374,0.2764,-0.6298,2.9047,False
019,34,Pillar 1,Pillar 2,1.6001,0.3534,-0.9438,4.144,False
019,34,Pillar 1,Pillar 3,0.39,0.9657,-1.8059,2.5859,False
019,34,Pillar 1,Pillar 4,2.175,0.0146,0.3289,4.0211,True
019,34,Pillar 2,Pillar 3,-1.2101,0.6836,-4.0821,1.6618,False
019,34,Pillar 2,Pillar 4,0.5749,0.9376,-2.0393,3.1891,False
019,34,Pillar 3,Pillar 4,1.785,0.1746,-0.4919,4.062,False
019,35,Pillar 1,Pillar 2,-1.3218,0.1899,-3.0452,0.4016,False
019,35,Pillar 1,Pillar 3,-2.7884,0.0002,-4.4472,-1.1296,True
019,35,Pillar 1,Pillar 4,0.4258,0.9528,-1.7176,2.5693,False
019,35,Pillar 2,Pillar 3,-1.4666,0.1738,-3.3359,0.4027,False
019,35,Pillar 2,Pillar 4,1.7476,0.2,-0.5625,4.0578,False
019,35,Pillar 3,Pillar 4,3.2142,0.0022,0.9518,5.4766,True
029,31,Pillar 1,Pillar 2,-0.1508,0.9977,-2.2886,1.987,False
029,31,Pillar 1,Pillar 3,-0.5881,0.8872,-2.7259,1.5498,False
029,31,Pillar 1,Pillar 4,1.4377,0.1991,-0.4573,3.3327,False
029,31,Pillar 2,Pillar 3,-0.4372,0.958,-2.7227,1.8482,False
029,31,Pillar 2,Pillar 4,1.5885,0.1872,-0.4715,3.6486,False
029,31,Pillar 3,Pillar 4,2.0257,0.0556,-0.0343,4.0858,False
029,32,Pillar 1,Pillar 3,0.9637,0.4266,-0.8844,2.8119,False
029,32,Pillar 1,Pillar 4,1.4932,0.0399,0.0564,2.93,True
029,32,Pillar 3,Pillar 4,0.5295,0.7658,-1.2962,2.3551,False
029,34,Pillar 1,Pillar 2,0.6388,0.8779,-1.6198,2.8974,False
029,34,Pillar 1,Pillar 3,0.6713,0.8003,-1.2782,2.6209,False
029,34,Pillar 1,Pillar 4,2.3751,0.0017,0.7361,4.0141,True
029,34,Pillar 2,Pillar 3,0.0326,1.0,-2.5172,2.5824,False
029,34,Pillar 2,Pillar 4,1.7364,0.2086,-0.5846,4.0573,False
029,34,Pillar 3,Pillar 4,1.7038,0.1279,-0.3178,3.7253,False
029,35,Pillar 1,Pillar 2,-1.2381,0.1627,-2.7907,0.3145,False
029,35,Pillar 1,Pillar 3,-1.3667,0.0848,-2.8611,0.1278,False
029,35,Pillar 1,Pillar 4,1.236,0.3374,-0.6951,3.1671,False
029,35,Pillar 2,Pillar 3,-0.1286,0.9971,-1.8126,1.5555,False
029,35,Pillar 2,Pillar 4,2.4741,0.0135,0.3928,4.5554,True
029,35,Pillar 3,Pillar 4,2.6027,0.0069,0.5644,4.6409,True
030,31,Pillar 1,Pillar 2,-0.4831,0.9262,-2.5425,1.5764,False
030,31,Pillar 1,Pillar 3,-1.3749,0.3027,-3.4343,0.6845,False
030,31,Pillar 1,Pillar 4,0.9522,0.5204,-0.8733,2.7777,False
030,31,Pillar 2,Pillar 3,-0.8918,0.7112,-3.0934,1.3098,False
030,31,Pillar 2,Pillar 4,1.4353,0.236,-0.5492,3.4198,False
030,31,Pillar 3,Pillar 4,2.3271,0.0151,0.3426,4.3116,True
030,34,Pillar 1,Pillar 2,0.9758,0.7679,-1.6836,3.6352,False
030,34,Pillar 1,Pillar 3,0.2161,0.9946,-2.0794,2.5117,False
030,34,Pillar 1,Pillar 4,2.2672,0.015,0.3373,4.197,True
030,34,Pillar 2,Pillar 3,-0.7596,0.9088,-3.7619,2.2426,False
030,34,Pillar 2,Pillar 4,1.2914,0.5997,-1.4415,4.0242,False
030,34,Pillar 3,Pillar 4,2.051,0.1152,-0.3293,4.4313,False
030,35,Pillar 1,Pillar 2,-1.4162,0.0736,-2.9257,0.0932,False
030,35,Pillar 1,Pillar 3,-1.4086,0.0607,-2.8615,0.0443,False
030,35,Pillar 1,Pillar 4,0.0646,0.9997,-1.8127,1.942,False
030,35,Pillar 2,Pillar 3,0.0076,1.0,-1.6296,1.6449,False
030,35,Pillar 2,Pillar 4,1.4809,0.2252,-0.5425,3.5043,False
030,35,Pillar 3,Pillar 4,1.4732,0.213,-0.5083,3.4548,False
043,31,Pillar 1,Pillar 2,1.3611,0.3468,-0.7831,3.5053,False
043,31,Pillar 1,Pillar 3,0.0133,1.0,-2.1309,2.1575,False
043,31,Pillar 1,Pillar 4,1.7353,0.0859,-0.1653,3.636,False
043,31,Pillar 2,Pillar 3,-1.3479,0.4151,-3.6401,0.9444,False
043,31,Pillar 2,Pillar 4,0.3742,0.964,-1.692,2.4404,False
043,31,Pillar 3,Pillar 4,1.7221,0.1351,-0.3441,3.7883,False
045,32,Pillar 1,Pillar 3,0.9543,0.4342,-0.8954,2.8039,False
045,32,Pillar 1,Pillar 4,1.7767,0.0118,0.3388,3.2147,True
045,32,Pillar 3,Pillar 4,0.8225,0.5285,-1.0047,2.6496,False
045,34,Pillar 1,Pillar 2,1.1059,0.6384,-1.3566,3.5684,False
045,34,Pillar 1,Pillar 3,1.3325,0.3563,-0.7931,3.4581,False
045,34,Pillar 1,Pillar 4,2.1179,0.0138,0.331,3.9049,True
045,34,Pillar 2,Pillar 3,0.2266,0.9964,-2.5534,3.0066,False
045,34,Pillar 2,Pillar 4,1.012,0.7176,-1.5185,3.5425,False
045,34,Pillar 3,Pillar 4,0.7854,0.7833,-1.4186,2.9895,False
045,35,Pillar 1,Pillar 2,1.2364,0.3329,-0.6854,3.1583,False
045,35,Pillar 1,Pillar 3,-0.3116,0.9704,-2.1614,1.5383,False
045,35,Pillar 1,Pillar 4,2.2047,0.0809,-0.1856,4.595,False
045,35,Pillar 2,Pillar 3,-1.548,0.2139,-3.6326,0.5366,False
045,35,Pillar 2,Pillar 4,0.9683,0.7541,-1.6079,3.5445,False
045,35,Pillar 3,Pillar 4,2.5163,0.0509,-0.0067,5.0392,False
